month,threshold_cents,customers,cohort_revenue_cents,total_revenue_cents,net_revenue_share,receipt_id
2025-03-31,10000000,0,0,24469012,0.0,mr-f4e9a3a7be8a74b84eb38431ebd03810
2025-03-31,100000000,0,0,24469012,0.0,mr-f4e9a3a7be8a74b84eb38431ebd03810
2025-03-31,1000000000,0,0,24469012,0.0,mr-f4e9a3a7be8a74b84eb38431ebd03810
2025-06-30,10000000,2,25922843,37331298,0.6943997232563411,mr-f4e9a3a7be8a74b84eb38431ebd03810
2025-06-30,100000000,0,0,37331298,0.0,mr-f4e9a3a7be8a74b84eb38431ebd03810
2025-06-30,1000000000,0,0,37331298,0.0,mr-f4e9a3a7be8a74b84eb38431ebd03810
2025-09-30,10000000,2,33977978,44998671,0.7550884780574965,mr-f4e9a3a7be8a74b84eb38431ebd03810
2025-09-30,100000000,0,0,44998671,0.0,mr-f4e9a3a7be8a74b84eb38431ebd03810
2025-09-30,1000000000,0,0,44998671,0.0,mr-f4e9a3a7be8a74b84eb38431ebd03810
2025-12-31,10000000,2,35350084,47397134,0.7458274586813625,mr-f4e9a3a7be8a74b84eb38431ebd03810
2025-12-31,100000000,0,0,47397134,0.0,mr-f4e9a3a7be8a74b84eb38431ebd03810
2025-12-31,1000000000,0,0,47397134,0.0,mr-f4e9a3a7be8a74b84eb38431ebd03810
2026-03-31,10000000,2,33786271,46017139,0.7342105948829196,mr-f4e9a3a7be8a74b84eb38431ebd03810
2026-03-31,100000000,0,0,46017139,0.0,mr-f4e9a3a7be8a74b84eb38431ebd03810
2026-03-31,1000000000,0,0,46017139,0.0,mr-f4e9a3a7be8a74b84eb38431ebd03810
2026-06-30,10000000,2,27047595,40147775,0.673700970975353,mr-f4e9a3a7be8a74b84eb38431ebd03810
2026-06-30,100000000,0,0,40147775,0.0,mr-f4e9a3a7be8a74b84eb38431ebd03810
2026-06-30,1000000000,0,0,40147775,0.0,mr-f4e9a3a7be8a74b84eb38431ebd03810
