month,plan,beginning_seats,paid_seats,gross_adds,cancelled_seats,seat_removals,plan_transfers_net,net_adds,daily_weighted_paid_seats,daily_weighted_paid_accounts,beginning_paid_accounts,paid_accounts,upgraded_accounts,downgraded_accounts,expanded_accounts,revenue_cents,trials_started,trial_cohort_converted,trial_cohort_resolved,gross_churn_monthly,gross_churn_annualized,gross_churn_daily_exposure_lens,arpu,arpa,upgrade_rate,downgrade_rate,seat_expansion_account_rate,trial_conversion_resolved_cohort_rate,trial_cohort_pending,receipt_id
2024-02-01,enterprise,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,1,,,,,,,,,0.0,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-02-01,pro,0,1,1,0,0,0,1,0.5172413793103449,0.5172413793103449,0,1,0,0,0,1034,1,1,1,,,0.0,19.990666666666666,19.990666666666666,,,,1.0,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-02-01,team,0,6,6,0,0,0,6,3.103448275862069,0.5172413793103449,0,1,0,0,0,10862,1,1,1,,,0.0,34.99977777777778,209.99866666666665,,,,1.0,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-03-01,max,0,1,0,0,0,1,1,0.7096774193548387,0.7096774193548387,0,1,0,0,0,4258,0,0,0,,,0.0,59.9990909090909,59.9990909090909,,,,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-03-01,pro,1,0,0,0,0,-1,-1,0.2903225806451613,0.2903225806451613,1,0,1,0,0,581,0,0,0,0.0,0.0,0.0,20.01222222222222,20.01222222222222,1.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-03-01,team,6,27,21,0,0,0,21,17.516129032258064,1.5483870967741935,1,2,0,0,0,61306,1,1,1,0.0,0.0,0.0,34.99974217311234,395.9345833333333,0.0,0.0,0.0,1.0,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-04-01,max,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,6000,0,0,0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-04-01,team,27,27,0,0,0,0,0,27.0,2.0,2,2,0,0,0,94500,0,0,0,0.0,0.0,0.0,35.0,472.5,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-05-01,max,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,6000,0,0,0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-05-01,team,27,27,0,0,0,0,0,27.0,2.0,2,2,0,0,0,94500,0,0,0,0.0,0.0,0.0,35.0,472.5,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-06-01,enterprise,0,6,0,0,0,6,6,4.2,0.7,0,1,0,0,0,33600,0,0,0,,,0.0,80.0,480.00000000000006,,,,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-06-01,max,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,6000,0,0,0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-06-01,pro,0,1,1,0,0,0,1,0.5333333333333333,0.5333333333333333,0,1,0,0,0,1067,1,1,1,,,0.0,20.00625,20.00625,,,,1.0,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-06-01,team,27,23,2,0,0,-6,-4,24.2,1.3,2,1,1,0,1,84700,0,0,0,0.0,0.0,0.0,35.0,651.5384615384615,0.5,0.0,0.5,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-07-01,enterprise,6,6,0,0,0,0,0,6.0,1.0,1,1,0,0,0,48000,0,0,0,0.0,0.0,0.0,80.0,480.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-07-01,max,1,2,0,0,0,1,1,1.7096774193548387,1.7096774193548387,1,2,0,0,0,10258,0,0,0,0.0,0.0,0.0,59.99962264150943,59.99962264150943,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-07-01,pro,1,0,0,0,0,-1,-1,0.2903225806451613,0.2903225806451613,1,0,1,0,0,581,0,0,0,0.0,0.0,0.0,20.01222222222222,20.01222222222222,1.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-07-01,team,23,23,0,0,0,0,0,23.0,1.0,1,1,0,0,0,80500,0,0,0,0.0,0.0,0.0,35.0,805.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-08-01,enterprise,6,4,0,0,2,0,-2,4.580645161290323,1.0,1,1,0,0,0,36645,0,0,0,0.3333333333333333,0.992292653370741,0.43661971830985913,79.99964788732393,366.45,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-08-01,max,2,2,0,0,0,0,0,2.0,2.0,2,2,0,0,0,12000,0,0,0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-08-01,team,23,23,0,0,0,0,0,23.0,1.0,1,1,0,0,0,80500,0,0,0,0.0,0.0,0.0,35.0,805.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-09-01,enterprise,4,23,19,0,0,0,19,14.133333333333333,1.5333333333333334,1,2,0,0,0,113067,1,1,1,0.0,0.0,0.0,80.00023584905661,737.3934782608695,0.0,0.0,0.0,1.0,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-09-01,max,2,2,0,0,0,0,0,2.0,2.0,2,2,0,0,0,12000,0,0,0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-09-01,team,23,23,0,0,0,0,0,23.0,1.0,1,1,0,0,0,80500,0,0,0,0.0,0.0,0.0,35.0,805.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-10-01,enterprise,23,46,0,0,0,23,23,39.32258064516129,2.7096774193548385,2,3,0,0,0,314581,0,0,0,0.0,0.0,0.0,80.00009023789993,1160.9536904761906,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-10-01,max,2,2,0,0,0,0,0,2.0,2.0,2,2,0,0,0,12000,0,0,0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-10-01,team,23,0,0,0,0,-23,-23,6.67741935483871,0.2903225806451613,1,0,1,0,0,23371,0,0,0,0.0,0.0,0.0,35.000048309178744,805.0011111111111,1.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-11-01,enterprise,46,46,0,0,0,0,0,46.0,3.0,3,3,0,0,0,368000,0,0,0,0.0,0.0,0.0,80.0,1226.6666666666667,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-11-01,max,2,2,0,0,0,0,0,2.0,2.0,2,2,0,0,0,12000,0,0,0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-12-01,enterprise,46,47,1,0,0,0,1,46.70967741935484,3.0,3,3,0,0,1,373677,0,0,0,0.0,0.0,0.0,79.99991022099448,1245.59,0.0,0.0,0.3333333333333333,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2024-12-01,max,2,1,0,0,0,-1,-1,1.2903225806451613,1.2903225806451613,2,1,0,1,0,7742,0,0,0,0.0,0.0,0.0,60.0005,60.0005,0.0,0.5,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
