month,model,generation,token_type,channel,workload,segment,tokens,allocated_inference_cost_cents,net_revenue_cents,cost_per_mtok,inference_gross_margin,receipt_id
2024-02-01,synthetic-g1,1,cache_read,azure_marketplace,claude_code,marketplace,93375024,1870,2456,0.20026768614270984,0.23859934853420195,mr-1673c6225a055ecb5323ee5746cd0e43
2024-02-01,synthetic-g1,1,cache_read,direct,api,enterprise,125555722,2514,2548,0.20022982305816378,0.013343799058084804,mr-1673c6225a055ecb5323ee5746cd0e43
2024-02-01,synthetic-g1,1,cache_read,direct,api,mid_market_api,65847624,1319,1819,0.20031094819761455,0.2748763056624519,mr-1673c6225a055ecb5323ee5746cd0e43
2024-02-01,synthetic-g1,1,cache_read,direct,api,startup_api,658181,13,19,0.1975140576832209,0.3157894736842105,mr-1673c6225a055ecb5323ee5746cd0e43
2024-02-01,synthetic-g1,1,cache_write,azure_marketplace,claude_code,marketplace,23341272,3895,7673,1.6687179687550875,0.4923758634171771,mr-1673c6225a055ecb5323ee5746cd0e43
2024-02-01,synthetic-g1,1,cache_write,direct,api,enterprise,31394181,5239,7963,1.6687805934481934,0.34208212985055886,mr-1673c6225a055ecb5323ee5746cd0e43
2024-02-01,synthetic-g1,1,cache_write,direct,api,mid_market_api,16458620,2746,5682,1.6684266360120108,0.5167194649771207,mr-1673c6225a055ecb5323ee5746cd0e43
2024-02-01,synthetic-g1,1,cache_write,direct,api,startup_api,165098,27,60,1.6353923124447298,0.55,mr-1673c6225a055ecb5323ee5746cd0e43
2024-02-01,synthetic-g1,1,input,azure_marketplace,claude_code,marketplace,233437061,31164,61387,1.3350065266628763,0.4923355107758972,mr-1673c6225a055ecb5323ee5746cd0e43
2024-02-01,synthetic-g1,1,input,direct,api,enterprise,313882286,41904,63692,1.3350227734737474,0.34208377818250335,mr-1673c6225a055ecb5323ee5746cd0e43
2024-02-01,synthetic-g1,1,input,direct,api,mid_market_api,164598236,21974,45458,1.3350082318014636,0.5166087377359321,mr-1673c6225a055ecb5323ee5746cd0e43
